make,component,complaint_count,crash_count,crash_rate_pct
TESLA,AIR BAGS,104,27.0,25.96
TESLA,"ELECTRICAL SYSTEM,VEHICLE SPEED CONTROL,FORWARD COLLISION AVOIDANCE",8,2.0,25.0
TESLA,"UNKNOWN OR OTHER,FORWARD COLLISION AVOIDANCE",65,16.0,24.62
TESLA,BACK OVER PREVENTION,22,5.0,22.73
TESLA,"STEERING,ELECTRICAL SYSTEM,SERVICE BRAKES",9,2.0,22.22
TESLA,ENGINE,9,2.0,22.22
TESLA,"SUSPENSION,WHEELS",14,3.0,21.43
TESLA,"UNKNOWN OR OTHER,LANE DEPARTURE",14,3.0,21.43
TESLA,"STEERING,UNKNOWN OR OTHER,SERVICE BRAKES",5,1.0,20.0
TESLA,"POWER TRAIN,ELECTRICAL SYSTEM,UNKNOWN OR OTHER",5,1.0,20.0
TESLA,"VISIBILITY/WIPER,LANE DEPARTURE",5,1.0,20.0
TESLA,"ELECTRICAL SYSTEM,LANE DEPARTURE",5,1.0,20.0
TESLA,"UNKNOWN OR OTHER,LANE DEPARTURE,FORWARD COLLISION AVOIDANCE",5,1.0,20.0
TESLA,SERVICE BRAKES,69,13.0,18.84
TESLA,"STEERING,LANE DEPARTURE",18,3.0,16.67
TESLA,"STEERING,SUSPENSION",57,8.0,14.04
TESLA,"STEERING,UNKNOWN OR OTHER",22,3.0,13.64
TESLA,"STEERING,SUSPENSION,WHEELS",15,2.0,13.33
TESLA,"ELECTRICAL SYSTEM,AIR BAGS",8,1.0,12.5
TESLA,"FORWARD COLLISION AVOIDANCE,LANE DEPARTURE",97,12.0,12.37
TESLA,LANE DEPARTURE,71,8.0,11.27
TESLA,"STEERING,FORWARD COLLISION AVOIDANCE",9,1.0,11.11
TESLA,"STEERING,ELECTRICAL SYSTEM,UNKNOWN OR OTHER",9,1.0,11.11
TESLA,"AIR BAGS,SEAT BELTS",39,4.0,10.26
TESLA,POWER TRAIN,20,2.0,10.0
TESLA,"POWER TRAIN,ELECTRICAL SYSTEM",10,1.0,10.0
TESLA,"ELECTRICAL SYSTEM,FORWARD COLLISION AVOIDANCE",21,2.0,9.52
TESLA,"VEHICLE SPEED CONTROL,UNKNOWN OR OTHER,FORWARD COLLISION AVOIDANCE",11,1.0,9.09
TESLA,FUEL/PROPULSION SYSTEM,12,1.0,8.33
TESLA,"STEERING,VEHICLE SPEED CONTROL,FORWARD COLLISION AVOIDANCE",12,1.0,8.33
